🚀 Geocodificando TODAS las colonias de Comitán con Mapbox...
📋 Asignando zonas automáticamente según el tabulador maestro
=================================================================
📌 Total a procesar: 255 colonias (169 del padrón + 86 de tu lista)

  🔵 [214/255] Santa Cecilia → AZUL $50 | 16.23324,-92.14201
  🔵 [215/255] Cueva → AZUL $50 | 16.25058,-92.13736
  🔵 [216/255] La Cueva → AZUL $50 | 16.25058,-92.13736
  🔵 [217/255] Arboledas → AZUL $50 | 16.25058,-92.13736
  🔵 [218/255] Bosques → AZUL $50 | 16.25058,-92.13736
  🔵 [219/255] San Martin → AZUL $50 | 16.24492,-92.15413
  🔵 [220/255] Bethel → AZUL $50 | 16.25058,-92.13736
  🔵 [221/255] Comitlan → AZUL $50 | 16.22165,-92.13330
  🔵 [222/255] Mariano N Ruiz → AZUL $50 | 16.23150,-92.13115
  🔵 [223/255] Mariano Ruiz → AZUL $50 | 16.25058,-92.13736
  🔵 [224/255] Los Sabinos → AZUL $50 | 16.22176,-92.10198
  🔵 [225/255] Sabinos → AZUL $50 | 16.23573,-92.15529
  🔵 [226/255] Prado → AZUL $50 | 16.25058,-92.13736
  🔵 [227/255] Tucanes → AZUL $50 | 16.23215,-92.12244
  🔵 [228/255] Rosario → AZUL $50 | 16.25058,-92.13736
  🔵 [229/255] Chichima Guadalupe → AZUL $50 | 16.23369,-92.14222
  🔵 [230/255] Chichimá Guadalupe → AZUL $50 | 16.23369,-92.14222
  🔵 [231/255] Chilcas → AZUL $50 | 16.25058,-92.13736
  🔵 [232/255] Bonampak → AZUL $50 | 16.25058,-92.13736
  🔵 [233/255] Miramar → AZUL $50 | 16.25058,-92.13736
  🔵 [234/255] Cerrito → AZUL $50 | 16.25058,-92.13736
  🔵 [235/255] Cedro → AZUL $50 | 16.22498,-92.13253
  🔵 [236/255] Jerusalen → AZUL $50 | 16.24334,-92.11350
  🔵 [237/255] San Antonio → AZUL $50 | 16.26054,-92.13062
  🔵 [238/255] Jordan → AZUL $50 | 16.25058,-92.13736
  🔵 [239/255] San Miguel → AZUL $50 | 16.26438,-92.13724
  🔵 [240/255] La Represa → AZUL $50 | 16.25058,-92.13736
  🔵 [241/255] Pashton → AZUL $50 | 16.25058,-92.13736
  🔵 [242/255] Tenam → AZUL $50 | 16.23648,-92.15369
  🔵 [243/255] Comitan Colonial → AZUL $50 | 16.22165,-92.13330
  🔵 [244/255] Linda Vista → AZUL $50 | 16.25704,-92.12619
  🟡 [245/255] Tinajas → AMARILLA $55 | 16.25058,-92.13736
  🟡 [246/255] Desamparados → AMARILLA $55 | 16.23215,-92.12244
  🟡 [247/255] 27 De Junio → AMARILLA $55 | 16.25058,-92.13736
  🟡 [248/255] Pashton Acapulco → AMARILLA $55 | 16.25058,-92.13736
  🟡 [249/255] 20 De Noviembre → AMARILLA $55 | 16.23457,-92.14128
  🟡 [250/255] Chichima Acapetahua → AMARILLA $55 | 16.25058,-92.13736
  🟡 [251/255] Chichimá Acapetahua → AMARILLA $55 | 16.25058,-92.13736
  🟡 [252/255] Plaza Las Flores → AMARILLA $55 | 16.23971,-92.14969
  🔴 [253/255] Entronque Chichima → ROJA $70 | 16.25058,-92.13736
  🔴 [254/255] La Coca → ROJA $70 | 16.26305,-92.13393
  🔴 [255/255] Gas Villatoro → ROJA $70 | 16.25058,-92.13736

=================================================================
🎉 COMPLETADO
   📍 Con GPS: 255/255
   🟢 Verde:   96
   🔵 Azul:    66
   🟡 Amarilla:8
   🔴 Rojo:    82

📄 SQL: padron_completo_mapbox.sql
